id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
847,0,0,0,0,0,1,1,20180201,20300202
848,0,0,0,0,1,0,0,20180201,20300202
849,0,0,0,0,0,0,0,20180201,20300202
11118491111,0,0,0,0,0,1,1,20180201,20300202
850,1,1,1,1,0,0,0,20180201,20190201
287,1,1,1,1,0,0,0,20180201,20190201
288,1,1,1,1,0,0,0,20180201,20190201
289,1,1,1,1,0,0,0,20300202,20310202
290,1,1,1,1,0,0,0,20300202,20310202
291,0,0,0,0,0,1,1,20180201,20200411
292,0,0,0,0,0,1,1,20200411,20200412
293,0,0,0,0,0,1,1,20200411,20300202
7408,1,1,1,1,1,1,1,20180201,20300202
9760,0,0,0,0,0,1,1,20200117,20300202
